Year,Citation,DOI,Data,Code,Themes
2022,"Cavender-Bares et al. 2022. Remotely detected aboveground plant function predicts belowground processes in two prairie diversity experiments. Ecological Monographs, e01488. {img width=400px}","[10.1002/ecm.1488](https://doi.org/10.1002/ecm.1488){:target=""\_blank""}","[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57){:target=""\_blank""}","[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57){:target=""\_blank""}",     &nbsp;
2022,"Schweiger et al. 2022. Coupling spectral and resource-use complementarity in experimental grassland and forest communities. Proceedings of the Royal Society B, 288: 2021 1290.","[10.1098/rspb.2021.1290](https://doi.org/10.1098/rspb.2021.1290){:target=""\_blank""}","EcoSIS [1](https://doi.org/10.21232/tYbmucPP){:target=""\_blank""} & [2](https://doi.org/10.21232/gMpYDoyN){:target=""\_blank""}","[Github](https://github.com/annakat/spectral_hypervolume){:target=""\_blank""}",     &nbsp;
2021,"Chen X, et al. 2021. Negative to positive shifts in diversity effects on soil nitrogen over time. Nature Sustainability 4: 225–232","[10.1038/s41893-020-00641-y](https://www.nature.com/articles/s41893-020-00641-y){:target=""\_blank""}","[Figshare](https://doi.org/10.6084/m9.figshare.11400552){:target=""\_blank""}","[Figshare](https://doi.org/10.6084/m9.figshare.11400552){:target=""\_blank""}",     &nbsp;
2022,"Wang G, et al. 2022, Soil enzymes as indicators of soil function: a step toward greater realism in microbial ecological modeling. 28 (5), 1935-1950","[10.1111/gcb.16036](https://doi.org/10.1111/gcb.16036){:target=""\_blank""}","BioCONN data at [CCESR Data Catalog](https://www.cedarcreek.umn.edu/research/data){:target=""\_blank""}","[Github](https://github.com/wanggangsheng/MEND.git){:target=""\_blank""}",     &nbsp;
2021,"Pastore MA, et al. 2021. Plant species richness increased total ecosystem carbon pools more than elevated CO2 or soil nitrogen addition over 19 years. Proceedings of National Academy of Sciences 118: e2016965118.","[10.1073/pnas.2016965118](https://doi.org/10.1073/pnas.2016965118){:target=""\_blank""}","Soil: [% C/N](http://dx.doi.org/10.6073/pasta/8fe02cded3d5d2979e4596d465b0e470){:target=""\_blank""}, [C flux](http://dx.doi.org/10.6073/pasta/7378dc1bf52efbcd45dbf9741c925081){:target=""\_blank""}; plant aboveground: [C/N](http://dx.doi.org/10.6073/pasta/4922002b6bc68b8947bf9f8f6905516f){:target=""\_blank""}, [biomass](http://dx.doi.org/10.6073/pasta/8524be9f00b40a9e71b73a8ba2dc9ed0){:target=""\_blank""}; root: [C/N](http://dx.doi.org/10.6073/pasta/cfc4c93aee56a6d8bb60b5fb206cca0d){:target=""\_blank""}, [biomass](http://dx.doi.org/10.6073/pasta/c00662959002e588597bd77e0c7dbdbb){:target=""\_blank""}, [ingrowth biomass](http://dx.doi.org/10.6073/pasta/d307637c4582713659a27cbd209a1d78){:target=""\_blank""}; [fire biomass loss](http://dx.doi.org/10.6073/pasta/7cf202d217f7a959e9c08ad29d43f758){:target=""\_blank""}",     &nbsp;,     &nbsp;
2020,Reich PB et al. 2020. Synergistic effects of four climate change drivers on terrestrial carbon cycling. Nature Geoscience 13: 787–793,"[10.1038/s41561-020-00657-1](https://doi.org/10.1038/s41561-020-00657-1){:target=""\_blank""}","Environmental Data Initiative data repository [1](https://go.nature.com/3843kVz) & [2](https://go.nature.com/38f8s9c){:target=""\_blank""}",     &nbsp;,     &nbsp;
2021,"Terrer C, et al. 2021. A trade-off between plant and soil carbon storage under elevated CO2. Nature 591: 599-603","[10.1038/s41586-021-03306-8](https://doi.org/10.1038/s41586-021-03306-8){:target=""\_blank""}","[Figshare](https://figshare.com/projects/Effects_of_elevated_CO2_on_soil_and_ecosystem_carbon_storage/74721){:target=""\_blank""} & [GitHub](https://github.com/cesarterrer/SoilC_CO2){:target=""\_blank""}, [FACE-MDS data](https://www.osti.gov/dataexplorer/biblio/dataset/1480327){:target=""\_blank""}, [CMIP5 data](https://esgf-index1.ceda.ac.uk/search/cmip5-ceda/){:target=""\_blank""}, [TRENDY data](http://dgvm.ceh.ac.uk/index.html){:target=""\_blank""}","[GitHub](https://github.com/cesarterrer/SoilC_CO2){:target=""\_blank""}",     &nbsp;
2022,"Cesarz S, et al. 2022. Tree diversity effects on soil microbial biomass and respiration are context dependent across forest diversity experiments. Global Ecology and Biogeography 31 (5), 872-885","[10.1111/geb.13461](https://doi.org/10.1111/geb.13461){:target=""\_blank""}","[Dryad](https://datadryad.org/stash/share/1jo89ZCsSXdGLlvO79rDRxPvB5DPe1n1zP6JBI83tP8){:target=""\_blank""}",     &nbsp;,     &nbsp;
2022,"Pan Y, et al. 2022. Contrasting responses of woody and grassland ecosystems to increased CO2 as water supply varies. Nature Ecology & Evolution 6, 315–323.","[10.1038/s41559-021-01642-6](https://doi.org/10.1038/s41559-021-01642-6){:target=""\_blank""}","[USDA Research Data Archive](https://www.fs.usda.gov/rds/archive/catalog/RDS-2021-0093){:target=""\_blank""}",     &nbsp;,     &nbsp;
