Year,Citation,DOI,Data,Codes,Themes
2020,"Mierles JE, et al. 2020. Leaf reflectance spectra capture the evolutionary history of seed plants. New Phytologist 228 (2): 485-493.",[10.1111/nph.16771](https://doi.org/10.1111/nph.16771),Figshare [1](https://figshare.com/articles/dataset/seed_plant_phylogeny/12449153) & [2](https://figshare.com/articles/dataset/Spectral_Dataset/12449147),     &nbsp;,2
2021,"Stasinski L et al. 2021. Leaf spectra capture fine-scale diversity of closely related, hybridizing arctic shrubs. New Phytol. 2021 Dec",[10.1111/nph.17731](https://doi-org.ezp2.lib.umn.edu/10.1111/nph.17731),"Raw sequence reads in [NCBI BioProject]( http://www.peptideatlas.org/PASS/PRJNA670097), [Leaf spectra](https://figshare.com/projects/Spectra_from_Dryas_alaskensis_Dryas_ajanensis_and_their_hybrids/96251) ",[Github](https://github.com/LanceStasinski/Dryas2),     &nbsp;
