Year,Citation,DOI,Data,Codes,Themes
2020,"Mierles JE, et al. 2020. Leaf reflectance spectra capture the evolutionary history of seed plants. New Phytologist 228 (2): 485-493.",[10.1111/nph.16771](https://doi.org/10.1111/nph.16771),figshare [1](https://figshare.com/articles/dataset/seed_plant_phylogeny/12449153) & [2](https://figshare.com/articles/dataset/Spectral_Dataset/12449147),     &nbsp;,2
2021,"He J, et al. 2021. Natural variation in linalool metabolites: One genetic locus, many functions? Journal of Integrative Plant Biology 63: 1416–1421.",[10.1111/jipb.13104](https://doi.org/10.1111/jipb.13104),     &nbsp;,     &nbsp;,     &nbsp;
