Year,Citation,DOI,Data,Codes,Themes
2022,"Cavender-Bares et al. 2022. Remotely detected aboveground plant function predicts belowground processes in two prairie diversity experiments. Ecological Monographs, e01488. {img width=400px}",[ecm.1488](https://doi.org//ecm.1488),[UMN Data Repository](https://doi.org/10.13020/fvdj-zv57),[UMN Data Repository](https://doi.org/10.13020/fvdj-zv57),
2022,"Schweiger et al. 2022. Coupling spectral and resource-use complementarity in experimental grassland and forest communities. Proceedings of the Royal Society B, 288: 2021 1290.",[10.1098](https://doi.org/10.1098/rspb.2021.1290),EcoSIS links [1](https://doi.org/10.21232/tYbmucPP) & [2](https://doi.org/10.21232/gMpYDoyN),[Github - Spectral hypervolume](https://github.com/annakat/spectral_hypervolume),
