Year,Citation,DOI,Data,Code,Themes
2021,"Laughlin DC, et al. Weigelt A. 2021. Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs. Nature Ecology & Evolution 5: 1123–1134 ","[10.1038/s41559-021-01471-7](https://pubmed.ncbi.nlm.nih.gov/34112996/){:target=""\_blank""}","[iDIV](https://doi.org/10.25829/idiv.3475-8-2316){:target=""\_blank""}","[iDIV](https://doi.org/10.25829/idiv.3475-8-2316){:target=""\_blank""}",3
2022,"Joswig, J.S., et al. 2022. Climatic and soil factors explain the two-dimensional spectrum of global plant trait variation. Nat Ecol Evol 6, 36–50.","[10.1038/s41559-021-01616-8](https://doi.org/10.1038/s41559-021-01616-8){:target=""\_blank""}","[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum){:target=""\_blank""}","[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum){:target=""\_blank""}","3, 4, 5"
2022,"Schuster MJ, et al. 2022. Patterns of belowground overyielding and fine‐root biomass in native and exotic angiosperms and gymnosperms.","[10.1111/oik.08877](https://doi.org/10.1111/oik.08877){:target=""\_blank""}","[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/226614){:target=""\_blank""}",     &nbsp;,3
2022,"Zu P-J, et al. 2022. Plant-insect chemical communication in ecological communities: an information theory perspective. Journal of Systematics and Evolution.","[10.1111/jse.12841](https://doi.org/10.1111/jse.12841){:target=""\_blank""}","[Zenodo](https://zenodo.org/record/6308472){:target=""\_blank""}","[Zenodo](https://zenodo.org/record/6308472){:target=""\_blank""}",3
2022,"Kothari S, et al. 2022. Reflectance spectroscopy allows rapid, accurate and non-destructive estimates of functional traits from pressed leaves. Methods in Ecology and Evolution, 00, 1– 17. ","[10.1111/2041-210X.13958] (https://doi.org/10.1111/2041-210X.13958){:target=""\_blank""}","[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/228067){:target=""\_blank""}",[DRUM](https://conservancy.umn.edu/handle/11299/228067),     &nbsp;
