Year,Citation,DOI,Data,Code,Themes
2020,"Butler, E.E., et al, 2020. Seeing the canopy for the branches: Improved within canopy scaling of leaf nitrogen. Journal of Advances in Modeling Earth Systems, 12(10), p.e2020MS002237.","[10.1029/2020MS002237](https://doi.org/10.1029/2020MS002237){:target=""\_blank""}",     &nbsp;,"[Zenodo](https://zenodo.org/record/3934661){:target=""\_blank""}",     &nbsp;
2021,"Butler EE, et al. 2021 Updated respiration routines alter spatio-temporal patterns of carbon cycling in a global land surface model. Environ. Res. Lett. 16 104015","[10.1088/1748-9326/ac2528](https://iopscience.iop.org/article/10.1088/1748-9326/ac2528){:target=""\_blank""}","[Zenodo](https://zenodo.org/record/5217876){:target=""\_blank""}",     &nbsp;,4
2021,"Migliavacca, et al. 2021. The three major axes of terrestrial ecosystem function. Nature 598, 468–472 ","[10.1038/s41586-021-03939-9](https://doi.org/10.1038/s41586-021-03939-9){:target=""\_blank""}","FLUXNET [1](https://fluxnet.fluxdata.org/data/la-thuile-dataset/){:target=""\_blank""} & [2](https://fluxnet.fluxdata.org/data/fluxnet2015-dataset/){:target=""\_blank""}, Zenodo [1](https://doi.org/10.5281/zenodo.5153538){:target=""\_blank""} & [2](https://doi.org/10.5281/zenodo.5153538){:target=""\_blank""}","Zenodo [1](https://doi.org/10.5281/zenodo.5153538){:target=""\_blank""}, [2](https://doi.org/10.5281/zenodo.5153534){:target=""\_blank""}, & [3](https://doi.org/10.5281/zenodo.3921923){:target=""\_blank""}","3, 4"
2021,Pinto-Ledezma JN et al. 2021.Predicting species distributions and community composition using satellite remote sensing predictors. Scientific Reports 11: 16448.,"[10.1038/s41598-021-96047-7](https://doi.org/10.1038/s41598-021-96047-7){:target=""\_blank""}","Precipitation data from [CHIRPS](https://www.chc.ucsb.edu/data/chirps){:target=""\_blank""}, Land Surface Temperature & Emissivity from [EarthData -MOD11C3](https://lpdaac.usgs.gov/products/mod11c3v006/){:target=""\_blank""}, [Predicted oak species models](https://doi.org/10.5281/zenodo.4611525) {:target=""\_blank""}","[Github](https://github.com/jesusNPL/BayesianSDMs_Oaks){:target=""\_blank""}",     &nbsp;
2022,"Anderegg, L. D. L., et al. 2022. Representing plant diversity in land models: An evolutionary approach to make “Functional Types” more functional. Global Change Biology 28:2541-2554.","[10.1111/gcb.16040](https://doi.org/10.1111/gcb.16040){:target=""\_blank""}","[Anderegg, Berner, et al. (2018)](https://doi.org/10.5061/dryad.c1dn34b){:target=""\_blank""}, [Falster et al. (2015)](https://doi.org/10.6084/m9.figshare.c.3307692.v1){:target=""\_blank""}, [Gleason et al. (2015) as dataset #241](https://www.try-db.org/){:target=""\_blank""}, [Law & Berner (2015)](https://doi.org/10.3334/ORNLDAAC/1292){:target=""\_blank""}, [Ledo et al. (2018)](https://doi.org/10.6084/m9.figshare.5144164.v1){:target=""\_blank""}, [Zanne et al. (2009)](https://doi.org/10.5061/dryad.234){:target=""\_blank""}","[Github](https://github.com/leanderegg/LineageFunctionalType_PNWexample){:target=""\_blank""}",     &nbsp;
2022,"Butler EE, et al. 2022. Increasing functional diversity in a global land surface model illustrates uncertainties related to parameter simplification. Journal of Geophysical Research – Biogeosciences e2021JG006606","[10.1029/2021JG006606](https://doi.org/10.1029/2021JG006606){:target=""\_blank""}","Model output on [Zenodo](https://zenodo.org/record/6127506){:target=""\_blank""}","[Zenodo](https://zenodo.org/record/6127506){:target=""\_blank""}",     &nbsp;
2022,"Gatti RC, et al. 2022. The number of tree species on Earth. Proc Nat Acad Sci 119 (6), e2115329119","[10.1073/pnas.2115329119](https://doi.org/10.1073/pnas.2115329119){:target=""\_blank""}","[GFBI](https://gfbinitiative.net/data/){:target=""\_blank""}",     &nbsp;,     &nbsp;
2022,"Barry KE, et al. A graphical null model for scaling biodiversity–ecosystem functioning relationships. Journal of Ecology. 2021 Mar;109(3):1549-60.","[10.1111/1365-2745.13578](https://doi.org/10.1111/1365-2745.13578){:target=""\_blank""}","[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk), [BCI 50-Ha plot data](http://ctfs.si.edu/webatlas/datasets/bci/){:target=""\_blank""}","[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk){:target=""\_blank""}",3
