Year,Citation,DOI,Data,Codes,Themes
2022,"Cavender-Bares et al. 2022. Remotely detected aboveground plant function predicts belowground processes in two prairie diversity experiments. Ecological Monographs, e01488. {img width=400px}",[10.1002/ecm.1488](https://doi.org/10.1002/ecm.1488),[UMN Data Repository](https://doi.org/10.13020/fvdj-zv57),[UMN Data Repository](https://doi.org/10.13020/fvdj-zv57),     &nbsp;
2022,"Schweiger et al. 2022. Coupling spectral and resource-use complementarity in experimental grassland and forest communities. Proceedings of the Royal Society B, 288: 2021 1290.",[10.1098/rspb.2021.1290](https://doi.org/10.1098/rspb.2021.1290),EcoSIS [1](https://doi.org/10.21232/tYbmucPP) & [2](https://doi.org/10.21232/gMpYDoyN),[Github](https://github.com/annakat/spectral_hypervolume),     &nbsp;
2021,"Chen X, et al. 2021. Negative to positive shifts in diversity effects on soil nitrogen over time. Nature Sustainability 4: 225–232",[10.1038/s41893-020-00641-y](https://www.nature.com/articles/s41893-020-00641-y),[figshare](https://doi.org/10.6084/m9.figshare.11400552),[Figshare](https://doi.org/10.6084/m9.figshare.11400552),     &nbsp;
2022,"Wang G, et al. 2022, Soil enzymes as indicators of soil function: a step toward greater realism in microbial ecological modeling. 28 (5), 1935-1950",[10.1111/gcb.16036](https://doi.org/10.1111/gcb.16036),BioCONN data at [CCESR Data Catalog](https://www.cedarcreek.umn.edu/research/data),[Github](https://github.com/wanggangsheng/MEND.git),     &nbsp;
2021,"Pastore MA, et al. 2021. Plant species richness increased total ecosystem carbon pools more than elevated CO2 or soil nitrogen addition over 19 years. Proceedings of National Academy of Sciences 118: e2016965118.",[10.1073/pnas.2016965118](https://doi.org/10.1073/pnas.2016965118),"Soil: [% C/N](http://dx.doi.org/10.6073/pasta/8fe02cded3d5d2979e4596d465b0e470), [C flux](http://dx.doi.org/10.6073/pasta/7378dc1bf52efbcd45dbf9741c925081); plant aboveground: [C/N](http://dx.doi.org/10.6073/pasta/4922002b6bc68b8947bf9f8f6905516f), [biomass](http://dx.doi.org/10.6073/pasta/8524be9f00b40a9e71b73a8ba2dc9ed0); root: [C/N](http://dx.doi.org/10.6073/pasta/cfc4c93aee56a6d8bb60b5fb206cca0d), [biomass](http://dx.doi.org/10.6073/pasta/c00662959002e588597bd77e0c7dbdbb), [ingrowth biomass](http://dx.doi.org/10.6073/pasta/d307637c4582713659a27cbd209a1d78); [fire biomass loss](http://dx.doi.org/10.6073/pasta/7cf202d217f7a959e9c08ad29d43f758)",     &nbsp;,     &nbsp;
2020,Reich PB et al. 2020. Synergistic effects of four climate change drivers on terrestrial carbon cycling. Nature Geoscience 13: 787–793,[10.1038/s41561-020-00657-1](https://doi.org/10.1038/s41561-020-00657-1),Environmental Data Initiative data repository [1](https://go.nature.com/3843kVz) & [2](https://go.nature.com/38f8s9c),     &nbsp;,     &nbsp;
