Year,Citation,DOI,Data,Codes,Themes
2021,"Avolio, ML, et al. 2021. Determinants of community compositional change are equally affected by global change. Ecology Letters 24:1892-1904.",[10.1111/ele.13824](https://doi.org/10.1111/ele.13824),[EDI Data Portal](https://doi.org/10.6073/pasta/1d54a326d6420a678b1553d493bfca1a),[github](https://github.com/mavolio/CoRRE-Community-Change-Paper),     &nbsp;
2021,"Williams LJ, et al. 2021. Remote spectral detection of biodiversity effects on forest biomass. Nature Ecology & Evolution 5: 46-54.",[10.1038/s41559-020-01329-4](https://www.nature.com/articles/s41559-020-01329-4),[UMN Data Repository](https://doi.org/10.13020/s7pf-am91),[UMN Data Repository](https://doi.org/10.13020/s7pf-am91),     &nbsp;
2021,"Williams LJ, et al. 2021. Enhanced light interception and light use efficiency explain overyielding in young tree communities. Ecology letters 24: 996-1006.",[10.1111/ele.13717](https://doi.org/10.1111/ele.13717),[Dryad](https://doi.org/10.5061/dryad.9w0vt4bf1),     &nbsp;,     &nbsp;
2021,"Mori AS, et al. 2021. Biodiversity-productivity relationships are key to nature-based climate solutions. Nature Climate Change 11: 543-550.",[10.1038/s41558-021-01062-1](https://doi.org/10.1038/s41558-021-01062-1),[Dryad](https://doi.org/10.5061/dryad.vq83bk3s2),     &nbsp;,     &nbsp;
2021,"Pellegrini AFA, et al. 2021. Decadal changes in fire frequencies shift tree communities and functional traits. Nature Ecology and Evolution 5: 504–512.",[10.1038/s41559-021-01401-7](https://www.nature.com/articles/s41559-021-01401-7),"Wood density [1](https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.234), [2]( https://onlinelibrary-wiley-com.ezp1.lib.umn.edu/action/downloadSupplement?doi=10.1111%2Fj.1365-2486.2011.02401.x&file=GCB_2401_sm_supplinfo.doc), [3]( https://www-jstor-org.ezp3.lib.umn.edu/stable/4216600?sid=primo&seq=2#metadata_info_tab_contents); [plant tissue stoichiometry & mycorrhizal data](https://www.pnas.org/doi/full/10.1073/pnas.1906655116#data-availability); [Supplementary Data](https://static-content.springer.com/esm/art%3A10.1038%2Fs41559-021-01401-7/MediaObjects/41559_2021_1401_MOESM3_ESM.xlsx) 1 & 2 for woody population size and 3 for land use data.",     &nbsp;,     &nbsp;
2021,"Pellegrini AFA, et al. 2021. Disease and fire interact to influence transitions between ecosystem states over a 54-year experiment. Ecology Letters 24: 1007-1017",[doi.org/10.1111/ele.13719](https://onlinelibrary.wiley.com/doi/10.1111/ele.13719),[Oak Wilt Dataset]( https://figshare.com/articles/dataset/Dataset_for_oak_wilt/13729258/1),     &nbsp;,     &nbsp;
