Year,Citation,DOI,Data,Codes,Themes
2021,"Kothari S, et al. 2021. Reflectance spectroscopy allows rapid, accurate, and non-destructive estimates of functional traits from pressed leaves, BioRxv",[10.1101/2021.04.21.440856](https://www.biorxiv.org/content/biorxiv/early/2021/05/04/2021.04.21.440856.full.pdf),     &nbsp;,     &nbsp;,1
2021,"Laughlin DC, et al. Weigelt A. 2021. Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs. Nature Ecology & Evolution 5: 1123–1134 ",[10.1038/s41559-021-01471-7](https://pubmed.ncbi.nlm.nih.gov/34112996/),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),3
